ff has scored 2
Player nag has scored 14
Player wannadie has scored 5
Player NAGIBATOR 3000 has scored 8
Player NAGIBATOR 3000 has scored 23
Player BVOSS has scored 2
Player BVOSS has scored 1
Player BVOSS has scored 3
Player BB has scored 3
Player Vasya has scored 16
Player Vasya has scored 1
Player ghgh has scored 0
Player vasya has scored 6
Player vasya has scored 0
Player NAgiBAtoR has scored 11
Player NAgiBAtoR has scored 1
Player Boss has scored 12
Player Boss has scored 7
Player SlavaKPSS has scored 1
Player SlavaKPSS has scored 5
Player SlavaKPSS has scored 10
Player xyi has scored 2
Player hhjh has scored 0
Player hhjh has scored 6
Player hhjh has scored 15
Player pick has scored 24
Player Svyat has scored 1
Player Svyat has scored 15
Player dikkkk has scored 6
Player dikkkk has scored 29
Player 9 has scored 23
